00:00:00:00:00:00,96,0,0,1,01:38:32.327
00:00:00:00:00:00,96,0,0,1,01:38:32.831
00:00:00:00:00:00,96,0,0,1,01:38:33.335
00:00:00:00:00:00,96,0,0,1,01:38:33.840
00:00:00:00:00:00,96,0,0,1,01:38:34.343
00:00:00:00:00:00,96,0,0,1,01:38:34.847
00:00:00:00:00:00,96,0,0,1,01:38:35.352
00:00:00:00:00:00,96,0,0,1,01:38:35.856
00:00:00:00:00:00,96,0,0,1,01:38:36.360
00:00:00:00:00:00,96,0,0,1,01:38:36.864
00:00:00:00:00:00,96,0,0,1,01:38:37.368
00:00:00:00:00:00,96,0,0,1,01:38:37.872
00:00:00:00:00:00,96,0,0,1,01:38:38.376
00:00:00:00:00:00,96,0,0,1,01:38:38.880
00:00:00:00:00:00,96,0,0,1,01:38:39.384
00:00:00:00:00:00,96,0,0,1,01:38:39.888
00:00:00:00:00:00,96,0,0,1,01:38:40.392
00:00:00:00:00:00,96,0,0,1,01:38:40.896
00:00:00:00:00:00,96,0,0,1,01:38:41.400
00:00:00:00:00:00,96,0,0,1,01:38:41.904
00:00:00:00:00:00,96,0,0,1,01:38:42.408
00:00:00:00:00:00,96,0,0,1,01:38:42.912
00:00:00:00:00:00,96,0,0,1,01:38:43.416
00:00:00:00:00:00,96,0,0,1,01:38:43.920
00:00:00:00:00:00,96,0,0,1,01:38:44.424
00:00:00:00:00:00,96,0,0,1,01:38:44.928
00:00:00:00:00:00,96,0,0,1,01:38:45.432
00:00:00:00:00:00,96,0,0,1,01:38:45.936
00:00:00:00:00:00,96,0,0,1,01:38:46.440
00:00:00:00:00:00,96,0,0,1,01:38:46.944
00:00:00:00:00:00,96,0,0,1,01:38:47.448
00:00:00:00:00:00,96,0,0,1,01:38:47.952
00:00:00:00:00:00,96,0,0,1,01:38:48.456
00:00:00:00:00:00,96,0,0,1,01:38:48.960
00:00:00:00:00:00,96,0,0,1,01:38:49.464
00:00:00:00:00:00,96,0,0,1,01:38:49.968
00:00:00:00:00:00,96,0,0,1,01:38:50.472
00:00:00:00:00:00,96,0,0,1,01:38:50.976
00:00:00:00:00:00,96,0,0,1,01:38:51.480
00:00:00:00:00:00,96,0,0,1,01:38:51.984
00:00:00:00:00:00,96,0,0,1,01:38:52.488
00:00:00:00:00:00,96,0,0,1,01:38:52.996
00:00:00:00:00:00,96,0,0,1,01:38:53.504
00:00:00:00:00:00,96,0,0,1,01:38:54.012
00:00:00:00:00:00,96,0,0,1,01:38:54.520
00:00:00:00:00:00,96,0,0,1,01:38:55.028
00:00:00:00:00:00,96,0,0,1,01:38:55.536
00:00:00:00:00:00,96,0,0,1,01:38:56.044
00:00:00:00:00:00,96,0,0,1,01:38:56.552
00:00:00:00:00:00,96,0,0,1,01:38:57.060
